True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
98.0,3.5,208,7.429,9.17068800514708,9.008846711666443,20
98.0,3.5,208,7.429,7.783729001547114,7.651940652467538,18.767416488167157
98.0,3.5,208,7.429,8.89630366756205,8.740941159318504,20
98.0,3.5,208,7.429,8.59272447570084,8.416858249989188,20
98.0,3.5,208,7.429,6.119409915540167,6.034784786571252,14.877462376800237
98.0,3.5,208,7.429,9.202490771294398,9.051542806975824,20
98.0,3.5,208,7.429,8.708751858985133,8.5588886560723,20
98.0,3.5,208,7.429,7.756599472928511,7.628066264511674,18.699025245856816
98.0,3.5,208,7.429,7.034859192038396,6.877581447423329,16.91231010906669
98.0,3.5,208,7.429,7.721921471038906,7.546296035380347,18.928070865817364
98.0,3.5,208,7.429,8.549257396575253,8.340794285309443,20
98.0,3.5,208,7.429,8.976005853554874,8.795106517216446,20
98.0,3.5,208,7.429,8.077949204654352,7.9250191102114655,19.26868702300148
98.0,3.5,208,7.429,8.828930897974965,8.662819927796216,20
98.0,3.5,208,7.429,8.489550366144636,8.305872170955976,20
98.0,3.5,208,7.429,8.075969292713214,7.89581257349522,19.64977690076544
98.0,3.5,208,7.429,7.9076031330728425,7.741881750661067,18.945843080706247
98.0,3.5,208,7.429,8.003751348359506,7.820197858439646,19.363189245140795
98.0,3.5,208,7.429,8.11506501421495,7.93650918093272,19.86223313872971
98.0,3.5,208,7.429,7.115621411705112,6.96414678494574,17.42761520200632
98.0,3.5,208,7.429,6.875847858874166,6.781330670515654,16.437668041801484
98.0,3.5,208,7.429,7.41219230002382,7.284370892751463,17.906568883134323
98.0,3.5,208,7.429,8.551820827782509,8.381843057323582,20
98.0,3.5,208,7.429,7.570049663959958,7.444494318609974,18.789151450953966
98.0,3.5,208,7.429,7.071235108418641,6.936910276896123,16.94606196323653
98.0,3.5,208,7.429,9.473282011385349,9.264737460416987,20
98.0,3.5,208,7.429,6.693958347551518,6.554307086924314,16.21021217359323
98.0,3.5,208,7.429,7.378930348965102,7.2556508320289,17.83511705614019
98.0,3.5,208,7.429,7.6136050657021554,7.48646254732918,18.285315440569633
98.0,3.5,208,7.429,7.295109892985118,7.197467997814282,17.663304614161273
98.0,3.5,208,7.429,8.125610664303052,8.010878933911316,19.792228170905926
98.0,3.5,208,7.429,8.110604637190185,7.947489993105281,19.156524956026086
98.0,3.5,208,7.429,8.018554292995736,7.888826293450631,19.377099123052425
112.0,4.0,208,7.429,1.4984385497408048,1.4550027372034886,3.0492354939020276
112.0,4.0,208,7.429,2.279540585967038,2.227291321603689,4.7683114449599575
112.0,4.0,208,7.429,1.6751391673259255,1.6349042556717217,3.5364807267593403
112.0,4.0,208,7.429,1.2569876578833425,1.2314123324805029,2.6694402973315428
112.0,4.0,208,7.429,2.049177959953141,2.0193023005019746,4.219969126184845
112.0,4.0,208,7.429,0.22517448138928273,0.21963194586961224,0.47126824995097677
112.0,4.0,208,7.429,0.8396407156589245,0.8242963599700042,1.7595312834484653
112.0,4.0,208,7.429,0.7834269668774204,0.7712399344825994,1.6398217413993872
112.0,4.0,208,7.429,1.538985897603219,1.5109936405516318,3.268964905296482
112.0,4.0,208,7.429,1.5569655451304643,1.5218190719806806,3.275057697692558
112.0,4.0,208,7.429,1.7132709774525456,1.6775300851822446,3.62320364427643
112.0,4.0,208,7.429,2.2836228640326435,2.2288266959030407,4.747189024081516
112.0,4.0,208,7.429,2.5538988559897553,2.506932675650007,5.283512519837042
112.0,4.0,208,7.429,2.1656770025793604,2.1082381907838164,4.513763661964807
112.0,4.0,208,7.429,1.2994428790136436,1.2740787442880042,2.714166055125132
112.0,4.0,208,7.429,2.48141198664964,2.4329507960875,5.161334530386574
112.0,4.0,208,7.429,1.757048918082585,1.729961921423838,3.6607024684209026
112.0,4.0,208,7.429,3.3600303242403626,3.292657224529586,7.002431814877375
112.0,4.0,208,7.429,2.794124300567109,2.7385941643368645,5.789084004385858
112.0,4.0,208,7.429,1.8004219910687032,1.7716263011886224,3.786829159520994
112.0,4.0,208,7.429,1.7726177489008184,1.7399688861531024,3.733838884915153
112.0,4.0,208,7.429,0.9605984242740598,0.9409273301762451,2.003966108800229
112.0,4.0,208,7.429,1.9962829356389846,1.9650373669933356,4.1855469137793735
112.0,4.0,208,7.429,0.7146560471372335,0.7006613184570142,1.4779108501433362
112.0,4.0,208,7.429,2.2854435644568847,2.2396069568484895,4.666359627122039
112.0,4.0,208,7.429,0.13996952352859857,0.13700349782975768,0.2935646269568013
112.0,4.0,208,7.429,0.7770524763259953,0.7601794431475843,1.6095982811548653
112.0,4.0,208,7.429,3.746791562156421,3.68336709296,7.798528981215751
112.0,4.0,208,7.429,3.101676435094694,3.0398925455102694,6.539273336500284
112.0,4.0,208,7.429,3.3268485137879704,3.2643409560361096,6.912046862642112
112.0,4.0,208,7.429,0.17260024785765354,0.1694737318902903,0.3628912888761813
112.0,4.0,208,7.429,0.4502466235052151,0.44161811780679855,0.9496087643818976
112.0,4.0,208,7.429,0.5037086454352715,0.4939332075753878,1.0505161961432858
112.0,4.0,208,7.429,3.938073794256384,3.8854497065108866,8.121569114531729
112.0,4.0,208,7.429,4.42780951147841,4.34597858157897,9.152522163710083
112.0,4.0,208,7.429,4.688181253326136,4.605681981868004,9.69455841080653
112.0,4.0,208,7.429,4.679743389858256,4.599852636264414,9.932795604388325
112.0,4.0,208,7.429,4.152393904222051,4.08992556624163,8.526560587226971
112.0,4.0,208,7.429,4.3983132023481915,4.324787340142039,9.23489451290351
